iter	Passed	Remaining
410	19159	18133
411	19199	18081
412	19245	18034
413	19273	17970
414	19309	17913
415	19363	17874
416	19401	17819
417	19445	17770
418	19492	17724
419	19537	17677
420	19581	17628
421	19610	17565
422	19663	17524
423	19711	17479
424	19753	17429
425	19801	17384
426	19842	17333
427	19870	17270
428	19913	17220
429	19968	17181
430	20006	17128
431	20075	17101
432	20113	17047
433	20182	17019
434	20246	16988
435	20307	16953
436	20339	16895
437	20378	16842
438	20443	16811
439	20481	16757
440	20538	16719
441	20577	16666
442	20629	16624
443	20672	16575
444	20700	16513
445	20754	16473
446	20801	16426
447	20850	16382
448	20887	16328
449	20945	16291
450	20979	16234
451	21007	16173
452	21034	16112
453	21083	16068
454	21136	16026
455	21177	15975
456	21223	15929
457	21274	15886
458	21328	15845
459	21364	15790
460	21388	15727
461	21429	15678
462	21479	15633
463	21534	15593
464	21568	15538
465	21607	15486
466	21661	15446
467	21693	15389
468	21731	15337
469	21777	15290
470	21806	15232
471	21846	15181
472	21904	15143
473	21943	15092
474	22002	15054
475	22041	15003
476	22077	14949
477	22128	14906
478	22165	14854
479	22192	14795
480	22237	14747
481	22301	14713
482	22356	14672
483	22398	14623
484	22436	14572
485	22460	14511
486	22496	14458
487	22541	14412
488	22600	14373
489	22636	14320
490	22692	14280
491	22729	14229
492	22765	14176
493	22793	14119
494	22829	14066
495	22887	14027
496	22930	13979
497	22978	13935
498	23015	13882
499	23056	13833
500	23086	13778
501	23114	13721
5503	23230	13643503	23210	13631
504	23254	13584
505	23299	13537
506	23348	13493
507	23390	13445
508	23445	13404
509	23483	13353
510	23538	13312
511	23572	13259
512	23629	13219
5514	23702	131165515	23735	13063515	23767	13081
5517	23857	12988517	23873	12996
518	23905	12942
519	23962	12902
520	23996	12850
5522	24069	127485523	24130	127105524	24178	126655525	24224	12619525	24223	12618
526	24273	12574
5528	24341	124695529	24383	124215530	24429	12375530	24436	12379
531	24488	12336
5533	24574	122415534	24708	12238
535	24737	12183
536	24785	12139
537	24846	12100
538	24890	12052
539	24938	12007
540	24965	11951
541	24993	11897
542	25040	11851
543	25100	11811
544	25152	11768
545	25201	11723
546	25243	11675
547	25273	11622
548	25361	11595
549	25389	11540
550	25472	11511
551	25525	11468
552	25553	11413
553	25587	11361
554	25624	11311
555	25678	11269
556	25713	11218
557	25749	11167
558	25776	11112
559	25827	11068
560	25865	11019
561	25914	10974
562	25956	10926
563	26003	10880
564	26050	10835
565	26078	10781
566	26120	10733
567	26160	10685
568	26195	10634
569	26243	10589
570	26270	10535
571	26314	10488
572	26359	10442
573	26403	10395
574	26453	10351
575	26481	10298
576	26526	10251
577	26572	10206
578	26620	10160
579	26661	10113
580	26710	10068
581	26753	10021
582	26802	9976
583	26830	9923
584	26885	9880
585	26913	9828
586	26957	9781
587	26998	9734
588	27050	9690
589	27089	9642
590	27138	9597
591	27175	9548
592	27202	9495
593	27257	9452
594	27299	9405
595	27345	9359
596	27402	9317
597	27432	9266
598	27491	9225
599	27523	9174
600	27550	9122
601	27580	9071
602	27621	9023
603	27665	8977
604	27704	8929
605	27752	8884
606	27780	8832
607	27809	8781
608	27852	8735
609	27895	8688
610	27941	8643
611	27983	8596
612	28032	8551
613	28059	8500
614	28101	8453
615	28150	8408
616	28187	8360
617	28237	8316
618	28295	8273
619	28324	8223
620	28366	8176
621	28416	8132
622	28458	8085
623	28503	8039
624	28545	7992
625	28580	7944
626	28607	7893
627	28635	7842
62627	28702	786629	28727	7751
630	28775	7706
631	28803	7656
632	28855	7612
633	28896	7565
634	28945	7521
635	29009	7480
636	29077	7440
637	29121	7394
638	29163	7347
639	29191	7297
640	29219	7247
641	29259	7200
642	29294	7152
643	29353	7110
64643	29461	71364644	29500	70864645	29576	70564646	29626	7006
647	29660	69564648	29692	69065649	29734	68665650	29788	68165651	29822	67665652	29857	67265653	29884	66765654	29914	662656	29903	65086657	29967	6467
658	30006	6420
659	30048	6373
660	30072	6323
661	30110	6276
662	30142	6228
663	30170	6179666663	30271	62666664	30292	61665665	30334	61666	30371	6056
667	30418	6010
668	30475	5967
669	30520	5921
670	30596	5882
671	30629	5834
672	30685	5790
673	30732	5745
674	30772	5698
675	30827	5654
676	30864	5607
677	30900	5560
678	30998	5524
679	31026	5475
680	31085	5432
681	31142	5388
682	31207	5345
683	31260	5301
684	31347	5262
685	31422	5221
686	31452	5173
687	31504	5128
688	31544	5081
689	31564	5032
690	31600	4984
691	31654	4940
692	31703	4895
693	31729	4846
694	31763	4798
695	31791	4750
696	31820	4702
697	31867	4656
698	31898	4609
699	31956	4565
700	32002	4519
701	32081	4478
702	32108	4430
703	32151	4384
704	32181	4336
705	32209	4288
706	32245	4241
707	32288	4195
708	32346	4151
709	32401	4107
710	32471	4064
711	32544	4022
712	32573	3974
713	32651	3932
714	32694	3886
715	32717	3838
716	32762	3792
717	32816	3747
718	32860	3701
719	32896	3655
720	32924	3607
721	32959	3560
722	33001	3514
723	33039	3468
724	33084	3422
725	33130	3376
726	33162	3329
727	33200	3283
728	33236	3237
729	33261	3189
730	33300	3143
731	33321	3095
732	33347	3048
733	33370	3000
734	33404	2954
7736	33455	28597737	33540	2817
738	33578	2771
739	33638	2727
740	33701	2683
741	33721	2635
742	33782	2591
743	33810	2544
744	33860	2499
745	33920	2455
746	33952	2408
747	34013	2364
748	34064	2319
749	34115	2274
750	34179	2230
751	34204	2183
752	34250	2137
753	34305	2092
754	34341	2046
755	34385	2001
756	34426	1955
757	34491	1911
758	34521	1864
759	34560	1818
760	34600	1773
761	34629	1726
762	34662	1680
763	34714	1635
764	34756	1590
765	34807	1544
766	34837	1498
767	34872	1453
768	34922	1407
769	34976	1362
770	35012	1316
771	35053	1271
772	35089	1225
773	35137	1180
774	35157	1134
775	35174	1087
776	35226	1042
777	35251	996
778	35298	951
779	35328	905
780	35369	860
781	35422	815
782	35479	770
783	35508	724
784	35533	678
785	35582	633
786	35617	588
787	35665	543
788	35704	497
789	35750	452
790	35793	407
791	35832	361
792	35880	316
793	35913	271
794	35955	226
795	35975	180
796	36029	135
797	36074	90
798	36099	45
799	36118	0
4
799	35991	0
	0
