iter	RMSE
252	0.59855401253253	0.59837463254254	0.59811713255255	0.59788618256	0.6010268204
257257	0.59758559258258	0.59720540259259	0.59685695260260	0.59664335261261	0.59637722262	0.5993522041
263	0.5989592362
264	0.5987037728
265	0.5984680985
266266	0.5951979267	0.5979029728
268	0.5977463715
269	0.5975572167
270	0.5973032617
271	0.5970113299
272	0.5967708424
273	0.5964687578
274	0.5960966547
275	0.5957584245
276	0.5955727944
277	0.5952787116
278	0.5951183378
279	0.5948739646
280	0.5946262145
281	0.5943785278
282	0.5941974827
283	0.5939099887
284	0.5937407987
285	0.5935068259
286	0.5932267434
287	0.592859762
288	0.5926390167
289	0.5923306381
290	0.5921007222
291	0.5917040826
292	0.5913622575
293	0.5910840584
294	0.5908602345
295	0.5906565957
296	0.590443992
297	0.5902157517
298	0.5898289128
299	0.5896234889
300	0.5894459418
301	0.5892355717
302	0.5890832646
303	0.5888314207
304	0.5885625626
305	0.5882248625
306	0.5880461424
307	0.5878135527
308	0.5875125658
309	0.5873223479
310	0.5870843173
311	0.5868477148
312	0.5867313408
313	0.5864637295
314	0.5862732214
315	0.5860160091
316	0.585744656
317	0.5855068743
318	0.5853269061
319	0.5849816924
320	0.5845909146
321	0.5843471032
322	0.5840263345
323	0.5839630995
324	0.5837247437
325	0.5835765734
326	0.5833695871
327	0.5830648662
328	0.5828127794
329	0.5826256618
330	0.582351723
331	0.582258549
332	0.5818947724
333	0.5817380491
334	0.5815854902
335	0.5811868954
336	0.5809422932
337	0.5806398116
338	0.5804584286
339	0.5802468224
340	0.5800624123
341	0.5798396124
342	0.5795283163
343	0.5794218654
344	0.5792760848
345	0.5790397927
346	0.5788119097
347	0.5786916263
348	0.5784528475
349	0.5782781671
350	0.5781496125
351	0.5779274248
352	0.5777752685
353	0.5775192054
354	0.5772963642
355	0.5770618403
356	0.5768090246
357	0.5766344998
358	0.5764604748
359	0.5762300816
360	0.5760200564
361	0.5757143769
362	0.5753846845
363	0.5751125714
364	0.5749038472
365	0.574687366
366	0.5745093001
367	0.5743400472
368	0.5740476387
369	0.5738555372
370	0.5736386326
371	0.5735162945
372	0.5733542034
373	0.5731817003
374	0.57300035
375	0.5727350088
376	0.5724879171
377	0.5720940026
378	0.5718327629
379	0.5717500257
380	0.5714736694
381	0.5711695842
382	0.5710868119
383	0.5708827823
384	0.5707125844
385	0.5704749409
386	0.5700732321
387	0.569877971
388	0.5697815897
389	0.5695968873
390	0.5694681735
391	0.5692023903
392	0.5689414754
393	0.5687233414
394	0.5685567854
395	0.5683725329
396	0.568146414
397	0.5679820968
398	0.5677828212
399	0.5675831068
400	0.5673852838
401	0.5672697341
402	0.5669609211
403	0.5667589689
404	0.5666381971
405	0.5663983965
406	0.566162048
407	0.5658954683
408	0.5656608403
409	0.5654718704
410	0.5653486967
411	0.5651972589
412	0.564921991
413	0.5647300043
414	0.564642833
415	0.5643850695
416	0.5641826235
417	0.563993701
418	0.5638462838
419	0.5637193801
420	0.5635413556
421	0.5633135677
422	0.5631653469
423	0.5629095238
424	0.5627030281
425	0.562553493
426	0.5623969474
427	0.5620975419
428	0.5618048104
429	0.5615992814
430	0.561429804
431	0.5612988155
432	0.5610894962
433	0.560848895
434	0.56066544
435	0.5604888159
436	0.5602776594
437	0.5600020194
438	0.5596882485
439	0.5594780677
440	0.5592015831
441	0.5590280123
442	0.5588207259
443	0.5586635077
444	0.5585594453
445	0.558234986
446	0.5579630269
447	0.557774312
448	0.5575507266
449	0.5574052224
450	0.5572894316
451	0.5570377612
452	0.5568916814
453	0.5567222998
454	0.5565754459
455	0.5563867239
456	0.5561181523
457	0.5558793327
458	0.5554806652
459	0.5553344534
460	0.5551356745
461	0.5549658764
462	0.5547052849
463	0.5546067291
464	0.5544480971
465	0.554179854
466	0.5540204322
467	0.5538084437
468	0.5536864631
469	0.5534810262
470	0.5533612547
471	0.5530593076
472	0.552891803
473	0.5526352986
474	0.5524944106
475	0.5522706406
476	0.5521092442
477	0.5519586947
478	0.5517781999
479	0.5516426143
480	0.551392917
481	0.5511639343
482	0.5510234758
483	0.5509015604
484	0.5507570533
485	0.5505751515
486	0.5504466027
487	0.550310942
488	0.5500624145
489	0.549845559
490	0.5496017732
491	0.5494332743
492	0.5493515007
493	0.5491267135
494	0.5488674168
495	0.5487450969
496	0.5486100074
497	0.5484851779
498	0.5482331973
499	0.5480889781
500	0.5479384105
501	0.547821838
502	0.547564307
503	0.5473185401
504	0.5470757552
505	0.5469581983
506	0.5468223877
507	0.546508667
508	0.5463990503
509	0.546209496
510	0.5459821991
511	0.5458395007
512	0.5456397813
513	0.54553776
514	0.5453404087
515	0.5450736906
516	0.5449352491
517	0.5446508078
518	0.544509058
519	0.5442379799
520	0.5439970785
521	0.543798355
522	0.543618579
523	0.5435449764
524	0.5433432117
525	0.5431370653
526	0.542967426
527	0.5428234137
528	0.54270778
529	0.5424828324
530	0.5423460147
531	0.5421620634
532	0.5418641399
533	0.5417416776
534	0.5414849481
535	0.5413793397
536	0.5412586649
537	0.5411508259
538	0.5410701963
539	0.540723307
540	0.5405135262
541	0.5402697804
542	0.5401517465
543	0.5399082725
544	0.5395566001
545	0.5393211733
546	0.539161485
547	0.5390542547
548	0.5388171663
549548	0.54051502550549	0.54036099551550	0.5400458654
551	0.5397748675
552	0.53960263
553	0.53933482065554	0.5391086057
555	0.5389995604
556	0.5387307062
557	0.5386354798
558	0.53847358255559	0.53828055195560	0.53812052
561	0.5379311024
562	0.5377323484
563	0.5375343206
564	0.5373282384
565	0.5370634072
566	0.5369137029
567	0.5367568838
568	0.5366832037
569	0.5365108892
570	0.5363658507
571	0.5362145121
572	0.5360964763
573	0.5359193077
574	0.53579232795575	0.53559586745576	0.5354403007
577	0.5352473663
578	0.5350912825
579	0.5349198991
580	0.5347007193
581	0.5344286272
582	0.5342334509
583	0.5340679004
584	0.5338116363
585	0.533660202
586	0.5335374728
587	0.5334374742
588	0.5333599575
589	0.5332009274
590	0.5330280892
591	0.5328797252
592	0.53264959959593	0.53253056359594	0.53238380259595	0.5322929895
596	0.5321845684
597	0.53204257159598	0.5319237585
599	0.53164869260600	0.531522698602	0.5298221287
603	0.52965603	0.60603	0.531604	0.60604	0.531605	0.60605	0.530606	0.607	0.52907607	0608	0.528940608	0609	0.528770609	0610	0.528561610	0611610	0.530611	0.5273519341
612	0.52612	0.529613	0.526984234
614	0.5267755179
615	0.5266132904
616	617	0.5273973617	0.526617	0.52618	0.525618	0.52619	0.5257530277
620	0.5256254222
621	0.525621	0.52622	0.5253084598
623	0.525623	0.52624	0.524624	0.52625	0.5246951583
626	0.5245479512
627	0.524300599
628	0.5242563535
629	0.5241275048
630	0.5239923212
631	0.5238941116
632	0.5236850063
633	0.5235370099
634	0.5234224064
635	0.5232866607
636	0.523636	0.52637	0.5229904791
638	0.52285934
639	0.5227678879
640	0.5226232972
641	0.5224971282
642	0.5223850357
643	0.5220529395
644	0.5218031869
645	0.5216645738
646	0.5215112563
647	0.5214560942
648	0.5213186316
649	0.5211901892
650	0.521081487
651	0.5209590906
652	0.5208673915
653	0.5206776848
654	0.5205402728
655	656	0.5216597656	657	0.5215373657	0.52015657	0.658	0.5200016934
659	660	0.5212665660	0.5196565184
661	662	0.5209421662	663	0.5207801663	664	0.5205965664	665	0.520436665	0666	0.5201624224
667	0.5200162698
668	0.5197734406
669	0.519653821
670	0.519456833
671	0.519288493
672	0.5191860452
673	0.5190752769
674	0.5189127149
675	0.5187303701
676	0.5185899173
677	0.518319307
678	0.5181938728
679	0.5180789841
680	0.5178153066
681	0.5176167285
682	0.5174419739
683	0.5173942521
684	0.5172324429
685	0.5171228613
686	0.5170334051
687	0.5169014323
688	0.5167289542
689	0.5166278483
690	0.5164490721
691	0.5162624938
692	0.5161435981
693	0.5159289332
694	0.5157777395
695	0.5156292089
696	0.5154248652
697	0.5152252722
698	0.515112969
699	0.5149599991
700	0.5148087443
701	0.5145875293
702	0.5143722355
703	0.5142175653
704	0.5141823148
705	0.5140627392
706	0.5139814747
707	0.5138758488
708	0.5138042629
709	0.5136392747
710	0.5135292386
711	0.5134217613
712	0.5132467487
713	0.5131001086
714	0.5129888369
715	0.5128381724
716	0.5127373512
717	0.5125947931
718	0.5123443186
719	0.5121527896
720	0.5119708308
721	0.5119109853
722	0.5118019037
723	0.5116759189
724	0.5115154624
725	0.5114509291
726	0.5113042903
727	0.5111982917
728	0.5110590611
729	0.5110175294
730	0.5109217015
731	0.5107919245
732	0.5106516751
733	0.5104529769
734	0.5103310784
735	0.5101421048
736	0.5099540833
737	0.5097807688
738	0.5096891051
739	0.5095129462
740	0.50739	0.510741	0.5740	0.510742	0.5091448445
743	0.50742	0.510744	0.743	0.50990745	0.744	0.50967746	0.745	0.5096147242
746	0.5094586304
747	0.5093008222
748	0.5092370586
749	0.5090379507
750	0.5088875854
751	0.5087462405
752	0.5086874042
753	0.5085361741
754	0.5084881152
755	0.5082939162
756	0.508121824
757	0.5079758165
758	0.5078353932
759	0.5077362929
760	0.5076521122
761	0.5074926723
762	0.5073955839
763	0.507305329
764	0.5070715601
765	0.5068268777
766	0.506708289
767	0.5066531018
768	0.5066020901
769	0.5064399336
770	0.5063414515
771	0.5062428719
772	0.5060934108
773	0.5059388293
774	0.5058284861
775	0.5056957815
776	0.5055979151
777	0.5054103502
778	0.5052585843
779	0.5051395325
780	0.5050710943
781	0.5049425386
782	0.5048141234
783	0.5046546251
784	0.5045600878
785	0.5043817334
786	0.5042151463
787	0.5040814414
788	0.5039799104
789	0.5038730909
790	0.5037785615
791	0.5035821719
792	0.5034415006
793	0.5033303889
794	0.5032188063
795	0.5029450559
796	0.5028388895
797	0.5026470327
798	0.5025710673
799	0.5023955093
